model,response,source_fit,quantity,factor_compared,held_fixed,contrast,estimate,lo,hi,pd,credible,pct_change,effect_size
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Land use,Biome = Temperate closed,Cropland - Plantation,-5.150186999999997e-4,-0.006024465057500001,0.005066845307149999,0.577875,FALSE,NA,-0.009074197339759815
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Land use,Biome = Temperate closed,Pasture - Plantation,-6.22562200000001e-4,-0.006453016755000003,0.005234013659199997,0.5855,FALSE,NA,-0.010969023569581125
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Land use,Biome = Temperate closed,Pasture - Cropland,-1.2189747000000001e-4,-0.0036948105772499967,0.003382622837999993,0.530375,FALSE,NA,-0.002147731136747952
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Land use,Biome = Tropical open,Plantation - Secondary,2.2967025500000154e-4,-0.002266978682724998,0.0025976439602499956,0.577625,FALSE,NA,0.00404659717587531
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Land use,Biome = Tropical open,Cropland - Secondary,-0.009355076049999996,-0.014274885157499998,-0.004444230249999999,0.999875,TRUE,NA,-0.16482859011946704
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Land use,Biome = Tropical open,Pasture - Secondary,-0.002040608059999999,-0.006062873372500003,0.0020375832649999993,0.829875,FALSE,NA,-0.035953801734858244
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Land use,Biome = Tropical open,Cropland - Plantation,-0.00959075065,-0.014964422161749999,-0.004111543303500003,0.999375,TRUE,NA,-0.16898097881597263
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Land use,Biome = Tropical open,Pasture - Plantation,-0.002233095810000001,-0.007006445295,0.0025439469635000034,0.824125,FALSE,NA,-0.03934527437262144
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Land use,Biome = Tropical open,Pasture - Cropland,0.00733985031,9.393136974999995e-4,0.013427630408499999,0.98775,TRUE,NA,0.12932200356460316
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Biome,Land use = Secondary,Temperate closed - Tropical closed,-0.013543735500000001,-0.029389796249999996,0.0013041945549999746,0.964125,FALSE,NA,-0.238629254907658
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Biome,Land use = Secondary,Tropical open - Tropical closed,0.010096448499999997,-0.0053521064975,0.02605080105,0.906125,FALSE,NA,0.1778909505998947
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Biome,Land use = Secondary,Tropical open - Temperate closed,0.023723830699999997,0.003541940195,0.044711251275,0.987875,TRUE,NA,0.41799399017327393
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Biome,Land use = Plantation,Temperate closed - Tropical closed,-0.0118019598,-0.0263561649475,0.0031968157919499917,0.938625,FALSE,NA,-0.20794062860457752
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Biome,Land use = Plantation,Tropical open - Tropical closed,0.011970429900000001,-0.0035905657424999933,0.02777251439599998,0.93325,FALSE,NA,0.21090893040264638
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Biome,Land use = Plantation,Tropical open - Temperate closed,0.0237430244,0.0027209694550000036,0.04375546062025,0.98725,TRUE,NA,0.41833216706176396
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Biome,Land use = Cropland,Temperate closed - Tropical closed,-0.009949937535000002,-0.025026241085,0.00538154421249999,0.89975,FALSE,NA,-0.1753095503345284
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Biome,Land use = Cropland,Tropical open - Tropical closed,0.004577024650000001,-0.011395068311249998,0.02100723827499999,0.718125,FALSE,NA,0.08064333373340643
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Biome,Land use = Cropland,Tropical open - Temperate closed,0.0147923448,-0.006601524069249998,0.035306317856049985,0.91125,FALSE,NA,0.2606287030606267
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Biome,Land use = Pasture,Temperate closed - Tropical closed,-0.012689534124999999,-0.028102216675000003,0.0032073535049999898,0.93825,FALSE,NA,-0.22357894344393017
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Biome,Land use = Pasture,Tropical open - Tropical closed,0.0093657024,-0.006907690084000001,0.02624627140249999,0.878375,FALSE,NA,0.16501581748985455
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Biome,Land use = Pasture,Tropical open - Temperate closed,0.0222276947,9.153386882499991e-4,0.04294564319749999,0.979625,TRUE,NA,0.391633329266944
A2d,Abundance change vs primary,fitted with male colourfulness (z),Colour slope,Biome,NA,Temperate closed - Tropical closed,0.010005662999999998,0.003770851797500001,0.016279767149999996,0.998875,TRUE,NA,0.17629138626836896
A2d,Abundance change vs primary,fitted with male colourfulness (z),Colour slope,Biome,NA,Tropical open - Tropical closed,0.008577254399999998,0.003919383125,0.013367578849999995,0.999875,TRUE,NA,0.15112402531970817
A2d,Abundance change vs primary,fitted with male colourfulness (z),Colour slope,Biome,NA,Tropical open - Temperate closed,-0.0014296963999999948,-0.0088534074,0.006053270557499995,0.642875,FALSE,NA,-0.025190050904062598
A2d,Abundance change vs primary,fitted with male colourfulness (z),Colour slope,Land use,NA,Plantation - Secondary,0.0017703848500000004,3.7005189175000087e-4,0.003179077330000001,0.994375,TRUE,NA,0.031192695520028867
A2d,Abundance change vs primary,fitted with male colourfulness (z),Colour slope,Land use,NA,Cropland - Secondary,7.435915299999984e-4,-5.166778945000017e-4,0.0020476748950000014,0.87425,FALSE,NA,0.013101458807988757
A2d,Abundance change vs primary,fitted with male colourfulness (z),Colour slope,Land use,NA,Pasture - Secondary,0.0014709278000000015,-9.634335327499984e-4,0.003938111072499998,0.881375,FALSE,NA,0.025916513574630935
A2d,Abundance change vs primary,fitted with male colourfulness (z),Colour slope,Land use,NA,Cropland - Plantation,-0.0010234534349999993,-0.0024526533297499994,4.552524774999978e-4,0.906375,FALSE,NA,-0.01803239074085085
A2d,Abundance change vs primary,fitted with male colourfulness (z),Colour slope,Land use,NA,Pasture - Plantation,-2.903976000000006e-4,-0.002843212462640001,0.0022431199320000006,0.582625,FALSE,NA,-0.0051165620382184985
A2d,Abundance change vs primary,fitted with male colourfulness (z),Colour slope,Land use,NA,Pasture - Cropland,7.265348449999997e-4,-0.0017519824255000016,0.0031470750122499992,0.71875,FALSE,NA,0.012800934330621024
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Tropical closed,Plantation - Secondary,-0.0013749512499999998,-0.003353100977500001,6.53844612249996e-4,0.909625,FALSE,NA,-0.024225487297935853
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Tropical closed,Cropland - Secondary,-0.003673165499999999,-0.005444195955,-0.0019022691100000018,0.999875,TRUE,NA,-0.06471809394221519
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Tropical closed,Pasture - Secondary,-0.0011132242499999993,-0.0048826359825,0.0027134315624999994,0.722625,FALSE,NA,-0.019614077174102833
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Tropical closed,Cropland - Plantation,-0.00231375175,-0.00434855058825,-2.795075500000025e-4,0.988,TRUE,NA,-0.04076636435670128
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Tropical closed,Pasture - Plantation,2.7607840000000005e-4,-0.003498740821250002,0.004079894469999996,0.556125,FALSE,NA,0.004864269749516178
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Tropical closed,Pasture - Cropland,0.0025931650000000006,-0.001120190555,0.006227245867499997,0.911,FALSE,NA,0.04568939136493156
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Temperate closed,Plantation - Secondary,-6.620610999999998e-4,-0.013200705481749998,0.011975100867499998,0.54125,FALSE,NA,-0.011664961043896966
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Temperate closed,Cropland - Secondary,-0.0010208504,-0.013937161457500001,0.012394042564999999,0.55775,FALSE,NA,-0.017986527448367887
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Temperate closed,Pasture - Secondary,-0.0012275393049999998,-0.014263249268249997,0.012174561038750002,0.5655,FALSE,NA,-0.021628212520985384
A2d,Abundance change vs primary,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Temperate closed,Cropland - Plantation,-3.5277216500000444e-4,-0.005719147797750001,0.005161810688749998,0.55025,FALSE,NA,-0.006215549534772917
