model,parameter,Estimate,Est.Error,Q2.5,Q97.5,prior_only_empty_cell,sparse_trophic
malecoldale,Predominant_simplePlantationforest:Trophic.NicheInvertivore,-0.016915004130249,0.06866032836351738,-0.1522115745,0.11557034749999999,FALSE,FALSE
malecoldale,Predominant_simpleSecondary:Trophic.NicheInvertivore,-0.005261262260477167,0.04736967889356657,-0.099475967275,0.08505542659999997,FALSE,FALSE
malecoldale,Predominant_simpleCropland:Trophic.NicheNectarivore,0.1004857740409135,0.12196420535170964,-0.13699329325,0.33021847424999995,FALSE,FALSE
malecoldale,Predominant_simplePasture:Trophic.NicheNectarivore,0.056102135797342,0.07042501854331526,-0.0837484707,0.19057290049999986,FALSE,FALSE
malecoldale,Predominant_simplePlantationforest:Trophic.NicheNectarivore,0.0082282673166935,0.07102686927231906,-0.130785958,0.14408492599999997,FALSE,FALSE
malecoldale,Predominant_simpleSecondary:Trophic.NicheNectarivore,0.08174905303481066,0.04970592463872191,-0.017471055025,0.17683775924999998,FALSE,FALSE
malecoldale,Predominant_simpleCropland:Trophic.NicheOmnivore,-0.012626108120575666,0.12085510019877871,-0.24950528174999997,0.21504082374999986,FALSE,FALSE
malecoldale,Predominant_simplePasture:Trophic.NicheOmnivore,0.022700217362636985,0.06653323978295261,-0.1096248525,0.15166638999999987,FALSE,FALSE
malecoldale,Predominant_simplePlantationforest:Trophic.NicheOmnivore,-0.0425719569089931,0.06868605161475025,-0.178468788,0.08880397459999999,FALSE,FALSE
malecoldale,Predominant_simpleSecondary:Trophic.NicheOmnivore,0.008573983393858666,0.047483876721311276,-0.08608783735,0.09851009852499994,FALSE,FALSE
dichrodiffdale,Intercept,5.50180104508,1.4622328776782556,2.6487706275,8.395799464999998,FALSE,FALSE
dichrodiffdale,Biome4TemperateForest,0.15551402768689834,0.6043646432651558,-1.0294539,1.3599903424999997,FALSE,FALSE
dichrodiffdale,Biome4TemperateOpen,1.3757376883886734,0.9664376783985107,-0.48630784675000005,3.291650474999998,FALSE,FALSE
dichrodiffdale,Biome4TropicalOpen,0.187945207901688,0.43013342994106973,-0.6451698905,1.0314503549999994,FALSE,FALSE
dichrodiffdale,Predominant_simpleCropland,0.3317681950310383,5.293699229649757,-10.10948415,10.551780074999993,FALSE,FALSE
dichrodiffdale,Predominant_simplePasture,-0.9501276390187333,2.963271733781454,-6.7148074025,4.97567542,FALSE,FALSE
dichrodiffdale,Predominant_simplePlantationforest,-2.043012687161683,3.196850350686434,-8.259789425000001,4.211701495,FALSE,FALSE
dichrodiffdale,Predominant_simpleSecondary,0.14005287040510833,2.163538114318537,-4.097011995,4.324436117499997,FALSE,FALSE
dichrodiffdale,Trophic.NicheFrugivore,-0.48842617224181667,1.4452391526416,-3.3996583825,2.351530747499998,FALSE,FALSE
dichrodiffdale,Trophic.NicheGranivore,6.132058780493334,1.4606673683141893,3.2191421974999996,9.045528462500002,FALSE,FALSE
dichrodiffdale,Trophic.NicheHerbivoreterrestrial,8.4802942055067,14.386631251209813,-19.414836675,36.28036534999997,FALSE,TRUE
dichrodiffdale,Trophic.NicheInvertivore,-3.3402224633373168,1.433899579060671,-6.1915451225,-0.5325711835000059,FALSE,FALSE
dichrodiffdale,Trophic.NicheNectarivore,1.88688955454465,1.5214737936216116,-1.1066950425,4.9096508074999985,FALSE,FALSE
dichrodiffdale,Trophic.NicheOmnivore,-1.8134842902960118,1.434273897251244,-4.657563122500001,1.0417552949999997,FALSE,FALSE
dichrodiffdale,z_logMass,-0.607845460965,0.06939401071582688,-0.740339478,-0.47482199050000007,FALSE,FALSE
dichrodiffdale,Biome4TemperateForest:Predominant_simpleCropland,-0.748337980836317,0.4336532027588031,-1.6111251375,0.09412694212499997,FALSE,FALSE
dichrodiffdale,Biome4TemperateOpen:Predominant_simpleCropland,-1.7054171426598232,1.1147020052516095,-3.8803675075,0.4445276069999994,FALSE,FALSE
dichrodiffdale,Biome4TropicalOpen:Predominant_simpleCropland,0.08882412983564,0.4160928188412656,-0.72190131525,0.9270095929999999,FALSE,FALSE
dichrodiffdale,Biome4TemperateForest:Predominant_simplePasture,-0.7104777098776016,0.5741483595746676,-1.832358565,0.41729135024999997,FALSE,FALSE
dichrodiffdale,Biome4TemperateOpen:Predominant_simplePasture,-1.97968119184522,1.111044788298065,-4.1276331525000005,0.1856979149999994,FALSE,FALSE
dichrodiffdale,Biome4TropicalOpen:Predominant_simplePasture,-0.89656141171435,0.4720332808096732,-1.8238302325,0.029296760974999954,FALSE,FALSE
